Startup Name,Detected Incidents,Average Response Time (hrs),Vulnerability Score (0–10),Threat Score (0–100),Risk Level,AI Recommendation
AgroSmart_1,1,4.5,2.4,16.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_2,5,7.0,5.1,39.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_3,8,8.8,5.9,48.0,Medium,Train staff on phishing; deploy EDR tool update
FinFlow_4,5,6.2,5.0,39.0,Low,Maintain patch cycle; SOC audits bi-annually
LogiChain_5,8,6.4,4.7,41.0,Medium,Train staff on phishing; deploy EDR tool update
SecureOps_6,3,4.9,2.3,20.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_7,0,4.2,2.0,10.0,Low,Maintain patch cycle; SOC audits bi-annually
BioTrace_8,2,2.5,2.5,13.0,Low,Maintain patch cycle; SOC audits bi-annually
SafePay_9,9,9.9,6.2,51.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_10,9,7.6,6.7,47.0,Medium,Train staff on phishing; deploy EDR tool update
AgroSmart_11,13,20.3,8.8,84.0,High,Urgent audit; migrate to zero-trust network architecture
ZenithCyber_12,5,6.7,5.2,37.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_13,2,1.1,1.5,10.0,Low,Maintain patch cycle; SOC audits bi-annually
DataShield_14,2,2.0,1.8,15.0,Low,Maintain patch cycle; SOC audits bi-annually
LogiChain_15,0,1.6,1.3,10.0,Low,Maintain patch cycle; SOC audits bi-annually
BioTrace_16,2,2.1,2.5,12.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_17,5,6.8,6.5,41.0,Medium,Train staff on phishing; deploy EDR tool update
SecureOps_18,1,2.1,3.2,12.0,Low,Maintain patch cycle; SOC audits bi-annually
HealthAI_19,21,18.5,9.9,95.0,High,Urgent audit; migrate to zero-trust network architecture
CyberNet_20,7,6.6,6.3,44.0,Medium,Train staff on phishing; deploy EDR tool update
FinFlow_21,3,3.4,3.4,18.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_22,6,7.2,4.8,37.0,Low,Maintain patch cycle; SOC audits bi-annually
EcoTech_23,6,6.5,5.0,41.0,Medium,Train staff on phishing; deploy EDR tool update
CloudSecure_24,22,22.2,9.6,100.0,High,Urgent audit; migrate to zero-trust network architecture
EduSolve_25,5,6.1,6.9,43.0,Medium,Train staff on phishing; deploy EDR tool update
HealthAI_26,10,8.6,4.8,49.0,Medium,Train staff on phishing; deploy EDR tool update
EduSolve_27,7,6.6,4.5,39.0,Low,Maintain patch cycle; SOC audits bi-annually
HealthAI_28,10,10.6,6.8,53.0,Medium,Train staff on phishing; deploy EDR tool update
EduSolve_29,17,15.8,9.5,83.0,High,Urgent audit; migrate to zero-trust network architecture
InnoRisk_30,0,1.2,1.8,10.0,Low,Maintain patch cycle; SOC audits bi-annually
EduSolve_31,6,6.4,4.3,39.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_32,5,9.7,4.5,42.0,Medium,Train staff on phishing; deploy EDR tool update
InnoRisk_33,3,3.7,0.9,15.0,Low,Maintain patch cycle; SOC audits bi-annually
SecureOps_34,17,23.9,7.6,87.0,High,Urgent audit; migrate to zero-trust network architecture
LogiChain_35,5,8.0,4.3,39.0,Low,Maintain patch cycle; SOC audits bi-annually
AgroSmart_36,21,14.1,8.8,85.0,High,Urgent audit; migrate to zero-trust network architecture
SafePay_37,12,16.7,8.5,74.0,High,Urgent audit; migrate to zero-trust network architecture
EcoTech_38,5,9.2,6.3,41.0,Medium,Train staff on phishing; deploy EDR tool update
EcoTech_39,5,10.1,6.1,45.0,Medium,Train staff on phishing; deploy EDR tool update
InnoRisk_40,9,10.0,5.0,48.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_41,24,19.5,7.7,96.0,High,Urgent audit; migrate to zero-trust network architecture
EduSolve_42,20,20.7,8.7,93.0,High,Urgent audit; migrate to zero-trust network architecture
DataShield_43,12,12.4,8.2,66.0,Medium,Train staff on phishing; deploy EDR tool update
CyberNet_44,3,1.1,3.5,16.0,Low,Maintain patch cycle; SOC audits bi-annually
EcoTech_45,19,22.2,8.9,96.0,High,Urgent audit; migrate to zero-trust network architecture
DataShield_46,0,3.0,1.2,11.0,Low,Maintain patch cycle; SOC audits bi-annually
SecureOps_47,18,19.3,9.3,90.0,High,Urgent audit; migrate to zero-trust network architecture
LogiChain_48,19,17.4,9.5,86.0,High,Urgent audit; migrate to zero-trust network architecture
AlphaGuard_49,0,4.4,2.7,14.0,Low,Maintain patch cycle; SOC audits bi-annually
SecureOps_50,10,6.5,4.4,42.0,Medium,Train staff on phishing; deploy EDR tool update
SecureOps_51,16,20.3,9.4,85.0,High,Urgent audit; migrate to zero-trust network architecture
LogiChain_52,7,6.1,5.8,40.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_53,18,20.6,8.1,89.0,High,Urgent audit; migrate to zero-trust network architecture
InnoRisk_54,24,12.6,8.3,84.0,High,Urgent audit; migrate to zero-trust network architecture
FinFlow_55,7,6.8,6.6,45.0,Medium,Train staff on phishing; deploy EDR tool update
SecureOps_56,12,12.2,8.9,72.0,High,Urgent audit; migrate to zero-trust network architecture
LogiChain_57,7,8.4,6.1,47.0,Medium,Train staff on phishing; deploy EDR tool update
EduSolve_58,24,15.7,9.2,93.0,High,Urgent audit; migrate to zero-trust network architecture
FinFlow_59,0,4.8,1.8,15.0,Low,Maintain patch cycle; SOC audits bi-annually
InnoRisk_60,0,1.3,1.3,10.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_61,6,9.5,6.8,48.0,Medium,Train staff on phishing; deploy EDR tool update
InnoRisk_62,1,1.4,1.7,10.0,Low,Maintain patch cycle; SOC audits bi-annually
EcoTech_63,0,2.7,1.5,12.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_64,19,20.4,8.3,88.0,High,Urgent audit; migrate to zero-trust network architecture
ZenithCyber_65,6,7.3,4.9,37.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_66,9,9.0,5.7,49.0,Medium,Train staff on phishing; deploy EDR tool update
SecureOps_67,8,7.0,6.9,45.0,Medium,Train staff on phishing; deploy EDR tool update
HealthAI_68,1,2.6,2.5,12.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_69,7,8.8,4.3,40.0,Low,Maintain patch cycle; SOC audits bi-annually
EcoTech_70,6,7.9,5.3,44.0,Medium,Train staff on phishing; deploy EDR tool update
AgroSmart_71,22,16.5,8.3,91.0,High,Urgent audit; migrate to zero-trust network architecture
BioTrace_72,5,10.2,4.4,41.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_73,0,4.2,1.7,13.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_74,2,2.7,0.9,10.0,Low,Maintain patch cycle; SOC audits bi-annually
SafePay_75,8,8.1,4.8,42.0,Medium,Train staff on phishing; deploy EDR tool update
ZenithCyber_76,6,9.1,4.6,41.0,Medium,Train staff on phishing; deploy EDR tool update
AgroSmart_77,5,8.9,5.4,42.0,Medium,Train staff on phishing; deploy EDR tool update
SecureOps_78,9,10.1,5.8,51.0,Medium,Train staff on phishing; deploy EDR tool update
EduSolve_79,6,10.5,4.5,40.0,Low,Maintain patch cycle; SOC audits bi-annually
LogiChain_80,14,17.7,8.7,81.0,High,Urgent audit; migrate to zero-trust network architecture
ZenithCyber_81,8,10.9,5.9,50.0,Medium,Train staff on phishing; deploy EDR tool update
HealthAI_82,2,2.0,1.3,10.0,Low,Maintain patch cycle; SOC audits bi-annually
SafePay_83,9,8.3,5.3,45.0,Medium,Train staff on phishing; deploy EDR tool update
InnoRisk_84,2,4.4,0.7,12.0,Low,Maintain patch cycle; SOC audits bi-annually
LogiChain_85,2,4.5,1.9,14.0,Low,Maintain patch cycle; SOC audits bi-annually
CyberNet_86,5,10.5,5.8,42.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_87,6,10.6,6.6,45.0,Medium,Train staff on phishing; deploy EDR tool update
EduSolve_88,1,1.5,2.1,11.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_89,16,20.3,8.4,84.0,High,Urgent audit; migrate to zero-trust network architecture
EduSolve_90,3,1.8,1.2,11.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_91,14,17.3,8.1,77.0,High,Urgent audit; migrate to zero-trust network architecture
InnoRisk_92,14,16.9,7.7,76.0,High,Urgent audit; migrate to zero-trust network architecture
EcoTech_93,5,10.3,5.1,44.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_94,7,10.4,4.4,42.0,Medium,Train staff on phishing; deploy EDR tool update
